,,,Diesel,,,,Petrol,,,,Unknown,,,,Plug-in Hybrid Electric Vehicle,,,,Battery Electric Vehicle,,,,,,,,,,,,,,,,
Activity,Type,Unit,kg CO2e,kg CO2e of CO2 per unit,kg CO2e of CH4 per unit,kg CO2e of N2O per unit,kg CO2e,kg CO2e of CO2 per unit,kg CO2e of CH4 per unit,kg CO2e of N2O per unit,kg CO2e,kg CO2e of CO2 per unit,kg CO2e of CH4 per unit,kg CO2e of N2O per unit,kg CO2e,kg CO2e of CO2 per unit,kg CO2e of CH4 per unit,kg CO2e of N2O per unit,kg CO2e,kg CO2e of CO2 per unit,kg CO2e of CH4 per unit,kg CO2e of N2O per unit,,,,,,,,,,,,,
Cars (by market segment),Mini,km,  0.107746,  0.10607 ,  0.000005,  0.001672,  0.130299,  0.12962 ,  0.000358,  0.00032 ,  0.130105,  0.12942 ,  0.000347,  0.000338,,,,,  0.0     ,  0.0     ,  0.0     ,  0.0     ,,,,,,,,,,,,,
,,miles,  0.173416,  0.17071 ,  0.000011,  0.002694,  0.209687,  0.2086  ,  0.000571,  0.000516,  0.209382,  0.20828 ,  0.00056 ,  0.000542,,,,,  0.0     ,  0.0     ,  0.0     ,  0.0     ,,,,,,,,,,,,,
,Supermini,km,  0.132146,  0.13047 ,  0.000005,  0.001672,  0.141689,  0.14101 ,  0.000358,  0.00032 ,  0.140487,  0.13966 ,  0.000302,  0.000525,  0.021631,  0.02149 ,  0.000078,  0.000062,  0.0     ,  0.0     ,  0.0     ,  0.0     ,,,,,,,,,,,,,
,,miles,  0.212676,  0.20997 ,  0.000011,  0.002694,  0.228027,  0.22694 ,  0.000571,  0.000516,  0.226096,  0.22477 ,  0.000482,  0.000845,  0.034812,  0.03458 ,  0.000134,  0.000098,  0.0     ,  0.0     ,  0.0     ,  0.0     ,,,,,,,,,,,,,
,Lower medium,km,  0.143456,  0.14178 ,  0.000005,  0.001672,  0.164729,  0.16405 ,  0.000358,  0.00032 ,  0.155205,  0.15403 ,  0.000179,  0.000996,  0.059754,  0.05933 ,  0.000246,  0.000178,  0.0     ,  0.0     ,  0.0     ,  0.0     ,,,,,,,,,,,,,
,,miles,  0.230876,  0.22817 ,  0.000011,  0.002694,  0.265097,  0.26401 ,  0.000571,  0.000516,  0.249772,  0.24788 ,  0.000291,  0.001601,  0.096187,  0.09549 ,  0.000403,  0.000293,  0.0     ,  0.0     ,  0.0     ,  0.0     ,,,,,,,,,,,,,
,Upper medium,km,  0.160496,  0.15882 ,  0.000005,  0.001672,  0.192109,  0.19143 ,  0.000358,  0.00032 ,  0.167936,  0.16647 ,  0.000078,  0.001387,  0.063102,  0.06264 ,  0.000258,  0.000205,  0.0     ,  0.0     ,  0.0     ,  0.0     ,,,,,,,,,,,,,
,,miles,  0.258296,  0.25559 ,  0.000011,  0.002694,  0.309167,  0.30808 ,  0.000571,  0.000516,  0.270256,  0.26791 ,  0.000123,  0.002223,  0.101572,  0.10082 ,  0.000414,  0.000338,  0.0     ,  0.0     ,  0.0     ,  0.0     ,,,,,,,,,,,,,
,Executive,km,  0.173096,  0.17142 ,  0.000005,  0.001672,  0.212319,  0.21164 ,  0.000358,  0.00032 ,  0.182641,  0.1812  ,  0.00009 ,  0.001352,  0.066497,  0.06601 ,  0.000246,  0.00024 ,  0.0     ,  0.0     ,  0.0     ,  0.0     ,,,,,,,,,,,,,
