,,,0% Laden,,,,50% Laden,,,,100% Laden,,,,Average laden,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity,Type,Unit,kg CO2e,kg CO2e of CO2 per unit,kg CO2e of CH4 per unit,kg CO2e of N2O per unit,kg CO2e,kg CO2e of CO2 per unit,kg CO2e of CH4 per unit,kg CO2e of N2O per unit,kg CO2e,kg CO2e of CO2 per unit,kg CO2e of CH4 per unit,kg CO2e of N2O per unit,kg CO2e,kg CO2e of CO2 per unit,kg CO2e of CH4 per unit,kg CO2e of N2O per unit,,,,,,,,,,,,,,,,,,,,,,,,,
HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),km,  0.53844,  0.53301,  0.00011,  0.00532,  0.58478,  0.57935,  0.00011,  0.00532,  0.63113,  0.6257 ,  0.00011,  0.00532,  0.5783 ,  0.57287,  0.00011,  0.00532,,,,,,,,,,,,,,,,,,,,,,,,,
,,miles,  0.86652,  0.85779,  0.00018,  0.00855,  0.94111,  0.93238,  0.00018,  0.00855,  1.0157 ,  1.00697,  0.00018,  0.00855,  0.93067,  0.92194,  0.00018,  0.00855,,,,,,,,,,,,,,,,,,,,,,,,,
,Rigid (>7.5 tonnes-17 tonnes),km,  0.64399,  0.63737,  0.00013,  0.00648,  0.73504,  0.72842,  0.00013,  0.00648,  0.82609,  0.81947,  0.00013,  0.00648,  0.7059 ,  0.69928,  0.00013,  0.00648,,,,,,,,,,,,,,,,,,,,,,,,,
,,miles,  1.0364 ,  1.02574,  0.00022,  0.01043,  1.18294,  1.17228,  0.00022,  0.01043,  1.32947,  1.31881,  0.00022,  0.01043,  1.13604,  1.12538,  0.00022,  0.01043,,,,,,,,,,,,,,,,,,,,,,,,,
,Rigid (>17 tonnes),km,  0.88884,  0.87802,  0.00022,  0.01059,  1.08158,  1.07076,  0.00022,  0.01059,  1.27432,  1.2635 ,  0.00022,  0.01059,  1.16032,  1.1495 ,  0.00022,  0.01059,,,,,,,,,,,,,,,,,,,,,,,,,
,,miles,  1.43045,  1.41304,  0.00037,  0.01704,  1.74063,  1.72322,  0.00037,  0.01704,  2.05081,  2.0334 ,  0.00037,  0.01704,  1.86736,  1.84995,  0.00037,  0.01704,,,,,,,,,,,,,,,,,,,,,,,,,
,All rigids,km,  0.78358,  0.77451,  0.00019,  0.00888,  0.93244,  0.92337,  0.00019,  0.00888,  1.0813 ,  1.07223,  0.00019,  0.00888,  0.98025,  0.97118,  0.00019,  0.00888,,,,,,,,,,,,,,,,,,,,,,,,,
,,miles,  1.26104,  1.24645,  0.0003 ,  0.01429,  1.50061,  1.48602,  0.0003 ,  0.01429,  1.74018,  1.72559,  0.0003 ,  0.01429,  1.57754,  1.56295,  0.0003 ,  0.01429,,,,,,,,,,,,,,,,,,,,,,,,,
,Articulated (>3.5 - 33t),km,  0.71183,  0.69962,  0.00012,  0.01209,  0.88673,  0.87452,  0.00012,  0.01209,  1.06164,  1.04943,  0.00012,  0.01209,  0.88673,  0.87452,  0.00012,  0.01209,,,,,,,,,,,,,,,,,,,,,,,,,
,,miles,  1.14556,  1.12593,  0.00019,  0.01944,  1.42704,  1.40741,  0.00019,  0.01944,  1.70852,  1.68889,  0.00019,  0.01944,  1.42704,  1.40741,  0.00019,  0.01944,,,,,,,,,,,,,,,,,,,,,,,,,
,Articulated (>33t),km,  0.73103,  0.71651,  0.00015,  0.01438,  0.96987,  0.95535,  0.00015,  0.01438,  1.20871,  1.19419,  0.00015,  0.01438,  1.05585,  1.04133,  0.00015,  0.01438,,,,,,,,,,,,,,,,,,,,,,,,,
,,miles,  1.17647,  1.15311,  0.00022,  0.02314,  1.56084,  1.53748,  0.00022,  0.02314,  1.94522,  1.92186,  0.00022,  0.02314,  1.69922,  1.67586,  0.00022,  0.02314,,,,,,,,,,,,,,,,,,,,,,,,,
,All artics,km,  0.73022,  0.71579,  0.00015,  0.01428,  0.96634,  0.95191,  0.00015,  0.01428,  1.20246,  1.18803,  0.00015,  0.01428,  1.04867,  1.03424,  0.00015,  0.01428,,,,,,,,,,,,,,,,,,,,,,,,,
,,miles,  1.17517,  1.15196,  0.00022,  0.02299,  1.55516,  1.53195,  0.00022,  0.02299,  1.93516,  1.91195,  0.00022,  0.02299,  1.68766,  1.66445,  0.00022,  0.02299,,,,,,,,,,,,,,,,,,,,,,,,,
,All HGVs,km,  0.75177,  0.73966,  0.00016,  0.01195,  0.95261,  0.9405 ,  0.00016,  0.01195,  1.15346,  1.14135,  0.00016,  0.01195,  1.02098,  1.00887,  0.00016,  0.01195,,,,,,,,,,,,,,,,,,,,,,,,,
,,miles,  1.20984,  1.19036,  0.00026,  0.01923,  1.53307,  1.51359,  0.00026,  0.01923,  1.8563 ,  1.83682,  0.00026,  0.01923,  1.6431 ,  1.62362,  0.00026,  0.01923,,,,,,,,,,,,,,,,,,,,,,,,,
