,,,0% Laden,,,,50% Laden,,,,100% Laden,,,,Average laden,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity,Type,Unit,kg CO2e,kg CO2e of CO2 per unit,kg CO2e of CH4 per unit,kg CO2e of N2O per unit,kg CO2e,kg CO2e of CO2 per unit,kg CO2e of CH4 per unit,kg CO2e of N2O per unit,kg CO2e,kg CO2e of CO2 per unit,kg CO2e of CH4 per unit,kg CO2e of N2O per unit,kg CO2e,kg CO2e of CO2 per unit,kg CO2e of CH4 per unit,kg CO2e of N2O per unit,,,,,,,,,,,,,,,,,,,,,,,,,
HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),km,  0.45221,  0.44678,  0.00011,  0.00532,  0.49106,  0.48563,  0.00011,  0.00532,  0.52991,  0.52448,  0.00011,  0.00532,  0.48562,  0.48019,  0.00011,  0.00532,,,,,,,,,,,,,,,,,,,,,,,,,
,,miles,  0.72775,  0.71902,  0.00018,  0.00855,  0.79027,  0.78154,  0.00018,  0.00855,  0.8528 ,  0.84407,  0.00018,  0.00855,  0.78152,  0.77279,  0.00018,  0.00855,,,,,,,,,,,,,,,,,,,,,,,,,
,Rigid (>7.5 tonnes-17 tonnes),km,  0.54088,  0.53426,  0.00013,  0.00648,  0.6172 ,  0.61058,  0.00013,  0.00648,  0.69352,  0.6869 ,  0.00013,  0.00648,  0.59277,  0.58615,  0.00013,  0.00648,,,,,,,,,,,,,,,,,,,,,,,,,
,,miles,  0.87046,  0.8598 ,  0.00022,  0.01043,  0.99329,  0.98263,  0.00022,  0.01043,  1.11612,  1.10546,  0.00022,  0.01043,  0.95398,  0.94332,  0.00022,  0.01043,,,,,,,,,,,,,,,,,,,,,,,,,
,Rigid (>17 tonnes),km,  0.7468 ,  0.73598,  0.00022,  0.01059,  0.90836,  0.89754,  0.00022,  0.01059,  1.06991,  1.05909,  0.00022,  0.01059,  0.97436,  0.96354,  0.00022,  0.01059,,,,,,,,,,,,,,,,,,,,,,,,,
,,miles,  1.20186,  1.18445,  0.00037,  0.01704,  1.46186,  1.44445,  0.00037,  0.01704,  1.72186,  1.70445,  0.00037,  0.01704,  1.56808,  1.55067,  0.00037,  0.01704,,,,,,,,,,,,,,,,,,,,,,,,,
,All rigids,km,  0.65828,  0.64921,  0.00019,  0.00888,  0.78306,  0.77399,  0.00019,  0.00888,  0.90784,  0.89877,  0.00019,  0.00888,  0.82313,  0.81406,  0.00019,  0.00888,,,,,,,,,,,,,,,,,,,,,,,,,
,,miles,  1.05939,  1.0448 ,  0.0003 ,  0.01429,  1.26021,  1.24562,  0.0003 ,  0.01429,  1.46102,  1.44643,  0.0003 ,  0.01429,  1.3247 ,  1.31011,  0.0003 ,  0.01429,,,,,,,,,,,,,,,,,,,,,,,,,
,Articulated (>3.5 - 33t),km,  0.61562,  0.60341,  0.00012,  0.01209,  0.76647,  0.75426,  0.00012,  0.01209,  0.91733,  0.90512,  0.00012,  0.01209,  0.76647,  0.75426,  0.00012,  0.01209,,,,,,,,,,,,,,,,,,,,,,,,,
,,miles,  0.99072,  0.97109,  0.00019,  0.01944,  1.2335 ,  1.21387,  0.00019,  0.01944,  1.47627,  1.45664,  0.00019,  0.01944,  1.2335 ,  1.21387,  0.00019,  0.01944,,,,,,,,,,,,,,,,,,,,,,,,,
,Articulated (>33t),km,  0.6325 ,  0.61798,  0.00015,  0.01438,  0.83849,  0.82397,  0.00015,  0.01438,  1.04448,  1.02996,  0.00015,  0.01438,  0.91265,  0.89813,  0.00015,  0.01438,,,,,,,,,,,,,,,,,,,,,,,,,
,,miles,  1.0179 ,  0.99454,  0.00022,  0.02314,  1.34941,  1.32605,  0.00022,  0.02314,  1.68093,  1.65757,  0.00022,  0.02314,  1.46876,  1.4454 ,  0.00022,  0.02314,,,,,,,,,,,,,,,,,,,,,,,,,
,All artics,km,  0.63179,  0.61736,  0.00015,  0.01428,  0.83544,  0.82101,  0.00015,  0.01428,  1.03909,  1.02466,  0.00015,  0.01428,  0.90644,  0.89201,  0.00015,  0.01428,,,,,,,,,,,,,,,,,,,,,,,,,
,,miles,  1.01675,  0.99354,  0.00022,  0.02299,  1.34449,  1.32128,  0.00022,  0.02299,  1.67224,  1.64903,  0.00022,  0.02299,  1.45877,  1.43556,  0.00022,  0.02299,,,,,,,,,,,,,,,,,,,,,,,,,
,All HGVs,km,  0.64258,  0.63047,  0.00016,  0.01195,  0.81377,  0.80166,  0.00016,  0.01195,  0.98496,  0.97285,  0.00016,  0.01195,  0.87205,  0.85994,  0.00016,  0.01195,,,,,,,,,,,,,,,,,,,,,,,,,
,,miles,  1.03412,  1.01464,  0.00026,  0.01923,  1.30963,  1.29015,  0.00026,  0.01923,  1.58514,  1.56566,  0.00026,  0.01923,  1.40341,  1.38393,  0.00026,  0.01923,,,,,,,,,,,,,,,,,,,,,,,,,
