"Activity","Type","Unit","Diesel","Petrol","Unknown","Plug-in Hybrid Electric Vehicle","Battery Electric Vehicle"
"Cars (by market segment)","Mini","km",0.107746,0.130299,0.130105,0,0
"","","miles",0.173416,0.209687,0.209382,0,0
"","Supermini","km",0.132146,0.141689,0.140487,0.021631,0
"","","miles",0.212676,0.228027,0.226096,0.034812,0
"","Lower medium","km",0.143456,0.164729,0.155205,0.059754,0
"","","miles",0.230876,0.265097,0.249772,0.096187,0
"","Upper medium","km",0.160496,0.192109,0.167936,0.063102,0
"","","miles",0.258296,0.309167,0.270256,0.101572,0
"","Executive","km",0.173096,0.212319,0.182641,0.066497,0
"","","miles",0.278586,0.341687,0.293934,0.107026,0
"","Luxury","km",0.211196,0.318089,0.25987,0.090206,0
"","","miles",0.339896,0.511897,0.418223,0.145169,0
"","Sports","km",0.169436,0.237159,0.226166,0.081715,0
"","","miles",0.272686,0.381657,0.363984,0.131507,0
"","Dual purpose 4X4","km",0.201946,0.204049,0.202707,0.070963,0
"","","miles",0.325006,0.328387,0.326213,0.114206,0
"","MPV","km",0.176596,0.184259,0.178647,0.056583,0
"","","miles",0.284216,0.296537,0.287503,0.091066,0
